Age,Gender,Call to action,Post engagements,"CPM (cost per 1,000 impressions)",Cost per post engagement,Reach,Impressions,Frequency,Link clicks,CPC (cost per link click),CTR (link click-through rate)
65+,male,GET_DIRECTIONS,3368,3.05713774,0.01363549,5098,15022,2.94664574,12,3.82702693,0.07988284
65+,male,GET_DIRECTIONS,2957,2.56866566,0.02102188,6872,24200,3.52153667,52,1.19541748,0.21487603
65+,male,GET_DIRECTIONS,2606,2.90549808,0.01198992,4443,10754,2.42043664,10,3.12457264,0.09298866
65+,male,GET_DIRECTIONS,153,3.35304368,0.02618881,1175,1195,1.01702128,,,
65+,male,INSTAGRAM_MESSAGE,38,10.33385236,0.03181739,40,117,2.925,2,0.60453036,1.70940171
65+,male,LEARN_MORE,36,5.27767455,0.73359676,2405,5004,2.08066528,26,1.01574936,0.51958433
65+,male,BOOK_TRAVEL,33,9.64528472,0.04208852,40,144,3.6,4,0.34723025,2.77777778
65+,male,INSTAGRAM_MESSAGE,9,51.26452235,0.13100933,13,23,1.76923077,,,
65+,unknown,GET_DIRECTIONS,38,3.10683012,0.00972928,119,119,1,,,
65+,unknown,GET_DIRECTIONS,23,2.82675137,0.01868114,96,152,1.58333333,1,0.42966621,0.65789474
65+,unknown,GET_DIRECTIONS,23,2.72162108,0.03041116,96,257,2.67708333,1,0.69945662,0.38910506
65+,unknown,BOOK_TRAVEL,3,0,0,1,3,3,,,
65+,unknown,LEARN_MORE,2,9.19740034,0.40468562,56,88,1.57142857,2,0.40468562,2.27272727
65+,unknown,INSTAGRAM_MESSAGE,1,6.66149161,0.01998447,2,3,1.5,,,
65+,unknown,GET_DIRECTIONS,,3.84316823,,13,13,1,,,
65+,unknown,INSTAGRAM_MESSAGE,,14.98835611,,2,2,1,,,
